type,count
track,16457.074
unclassified,9764.110
residential,6428.743
tertiary,4485.962
secondary,2685.288
primary,2650.482
path,1960.528
service,1334.601
trunk,993.003
footway,307.264
trunk_link,225.897
pedestrian,113.375
primary_link,100.016
bridleway,96.864
construction,80.594
cycleway,64.626
tertiary_link,37.763
secondary_link,31.671
steps,17.496
road,13.827
living_street,9.702
raceway,9.682
rest_area,2.057
services,1.070
footway;track,0.729
track;footway,0.579
residential;unclassified,0.501
piste,0.321
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
